gene_name,highly_variable,highly_variable_rank,means,variances,variances_norm,highly_variable_nbatches,variances_norm_rank,isPresentInAll,isPredicted
TUBA3D,,,,,,,,False,False
DAPL1,True,6442.5,0.00975913362793303,0.010161934414266693,0.999739878090932,18.0,5612.0,True,False
RGPD3,,,,,,,,False,False
PREPL,True,10726.5,1.7255492624634343,3.9681443739735833,0.954154843994906,18.0,11125.0,True,False
FAHD2B,True,3823.5,1.2304599489637145,2.907477089462566,1.064173056377618,18.0,2653.0,True,True
PDK1,True,2584.5,0.5403871288977408,0.7900106301228779,1.06098123534295,18.0,1728.0,True,True
SCTR,True,6136.5,0.002402439783406983,0.0023966979002888245,0.9944433001253695,18.0,5174.0,True,False
UGT1A4,True,5294.0,0.001493744943050974,0.001491532235502202,0.9971064365974756,18.0,3780.0,True,True
SLC40A1,True,322.0,3.6414140785460885,16.555371515929462,1.4274936611470015,18.0,168.0,True,True
EXOC6B,True,8365.0,1.2567249642123608,2.4860122032773706,0.9762398756104871,18.0,8059.0,True,False
TMEM127,True,11177.5,1.3248895251135868,2.0507429406544597,0.9432412251663153,18.0,11808.0,True,False
ING5,True,12437.5,0.8508246716873094,1.2000433548124174,0.9401665617309646,18.0,13622.0,True,False
CFC1,,,,,,,,False,False
UPP2,True,6267.5,0.0031991037530341693,0.0032138052423067473,1.0013499775710344,18.0,5377.0,True,False
PAX3,True,933.5,4.368021410344184,21.848064916513234,1.253985531693501,18.0,567.0,True,True
RGPD4,,,,,,,,False,False
C2orf72,,,,,,,,False,False
HTR2B,True,7143.5,0.00520321155162756,0.005225994691804462,0.9925221391535215,18.0,6520.0,True,False
B3GNT7,True,8623.0,0.19656438663098275,0.24160444856113422,0.981759764681052,18.0,8377.0,True,False
NMUR1,True,8013.0,0.024422729818883427,0.025419904450112666,0.9867742633585385,18.0,7659.0,True,False
RNPEPL1,True,8697.0,2.3384826040953506,6.440037605863512,0.9803454790934641,18.0,8465.0,True,False
CAPN10,True,12692.5,1.5332793925437231,2.8114469283744663,0.9293784715660381,18.0,13913.0,True,False
AQP12B,,,,,,,,False,False
AGXT,,,,,,,,False,False
MAB21L4,,,,,,,,False,False
WNT10A,True,3318.5,0.128673678969316,0.18202629248505217,1.059451364319981,18.0,2279.0,True,True
CDK5R2,True,6413.0,0.0040331113462376295,0.004041791419869781,0.9921291676312534,18.0,5564.0,True,False
FEV,,,,,,,,False,False
CRYBA2,True,5371.5,0.0018173896807120184,0.0018639014751738498,1.0070660603571646,18.0,3923.0,True,True
CFAP65,True,6291.0,0.004045559220763054,0.004128827062678965,1.0023604518880047,18.0,5409.0,True,False
IHH,,,,,,,,False,False
SLC23A3,True,8448.5,0.010244600734424597,0.010338943580496036,0.9863887206134118,18.0,8166.0,True,False
CNPPD1,True,14638.5,2.0416256924130205,4.15297139050179,0.9071648319544732,18.0,15179.0,True,False
RETREG2,True,4364.0,1.7027447563328562,3.8693398160334183,0.9988438686262467,18.0,3048.0,True,True
ZFAND2B,True,13297.5,1.3292462811974854,2.331608482863128,0.9221935114772657,18.0,14435.0,True,False
ABCB6,True,3763.5,1.2439907885728512,2.4751479641644076,1.0298728176048515,18.0,2609.0,True,True
ATG9A,True,10387.5,2.5078857285118565,5.851977424141557,0.9608535195050253,18.0,10662.0,True,False
ANKZF1,True,12338.0,1.2796663969627187,2.2921519538357185,0.9476933288105988,18.0,13492.0,True,False
GLB1L,True,3080.5,0.8899856849442958,1.461818078068286,1.04032415600892,18.0,2104.0,True,True
STK16,True,9754.5,0.8553432501400385,1.2472918553772674,0.9652090111338923,18.0,9820.0,True,False
PTPRN,True,5489.5,0.0027883238936951514,0.0029050640506860393,1.006613712658514,18.0,4122.0,True,True
RESP18,,,,,,,,False,False
ECRG4,True,4435.0,0.3941246032239995,2.4181943736490368,1.089978012861212,18.0,3084.0,True,True
UXS1,True,14037.5,1.3727640505383705,2.2246272778970044,0.9215430113755545,18.0,14853.0,True,False
CCDC74B,,,,,,,,False,False
MZT2B,,,,,,,,False,False
